   ,CATEGORY,STATENAME,COUNT,
466,ORGANIZATIONS - ASSOCIATIONS,COLORADO,"6,086",
467,ORGANIZATIONS - ASSOCIATIONS,CONNECTICUT,"4,090",
468,ORGANIZATIONS - ASSOCIATIONS,DELAWARE,"1,430",
469,ORGANIZATIONS - ASSOCIATIONS,DISTRICT OF COLUMBIA,"2,661",
470,ORGANIZATIONS - ASSOCIATIONS,FLORIDA,"23,385",
471,ORGANIZATIONS - ASSOCIATIONS,GEORGIA,"14,416",
472,ORGANIZATIONS - ASSOCIATIONS,HAWAII,"1,494",
473,ORGANIZATIONS - ASSOCIATIONS,IDAHO,"2,132",
474,ORGANIZATIONS - ASSOCIATIONS,ILLINOIS,"19,020",
475,ORGANIZATIONS - ASSOCIATIONS,INDIANA,"9,738",
476,ORGANIZATIONS - ASSOCIATIONS,IOWA,"5,439",
477,ORGANIZATIONS - ASSOCIATIONS,KANSAS,"5,028",
478,ORGANIZATIONS - ASSOCIATIONS,KENTUCKY,"7,074",
479,ORGANIZATIONS - ASSOCIATIONS,LOUISIANA,"8,047",
480,ORGANIZATIONS - ASSOCIATIONS,MAINE,"1,484",
481,ORGANIZATIONS - ASSOCIATIONS,MARYLAND,"8,954",
482,ORGANIZATIONS - ASSOCIATIONS,MASSACHUSETTS,"6,841",
483,ORGANIZATIONS - ASSOCIATIONS,MICHIGAN,"14,664",
484,ORGANIZATIONS - ASSOCIATIONS,MINNESOTA,"7,987",
485,ORGANIZATIONS - ASSOCIATIONS,MISSISSIPPI,"5,837",
486,ORGANIZATIONS - ASSOCIATIONS,MISSOURI,"9,026",
487,ORGANIZATIONS - ASSOCIATIONS,MONTANA,"1,843",
488,ORGANIZATIONS - ASSOCIATIONS,NEBRASKA,"3,197",
